"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0.1,0.1
1.0105,0,0,1,0.019802,0.019802,0.1,0.1
1.021,0,0,1,0.039604,0.039604,0.1,0.1
1.0315,0,0,1,0.059406,0.059406,0.1,0.1
1.0419,0,0,1,0.079208,0.079208,0.1,0.1
1.0523,0,0,1,0.09901,0.09901,0.1,0.1
1.0625,0,0,1,0.11881,0.11881,0.1,0.1
1.0727,0,0,1,0.13861,0.13861,0.1,0.1
1.0828,0,0,1,0.15842,0.15842,0.1,0.1
1.0928,0,0,1,0.17822,0.17822,0.1,0.1
1.1026,0,0,1,0.19802,0.19802,0.1,0.1
1.1123,0,0,1,0.21782,0.21782,0.1,0.1
1.1218,0,0,1,0.23762,0.23762,0.1,0.1
1.1311,0,0,1,0.25743,0.25743,0.1,0.1
1.1402,0,0,1,0.27723,0.27723,0.1,0.1
1.1491,0,0,1,0.29703,0.29703,0.1,0.1
1.1578,0,0,1,0.31683,0.31683,0.1,0.1
1.1663,0,0,1,0.33663,0.33663,0.1,0.1
1.1745,0,0,1,0.35644,0.35644,0.1,0.1
1.1825,0,0,1,0.37624,0.37624,0.1,0.1
1.1902,0,0,1,0.39604,0.39604,0.1,0.1
1.1976,0,0,1,0.41584,0.41584,0.1,0.1
1.2048,0,0,1,0.43564,0.43564,0.1,0.1
1.2116,0,0,1,0.45545,0.45545,0.1,0.1
1.2182,0,0,1,0.47525,0.47525,0.1,0.1
1.2244,0,0,1,0.49505,0.49505,0.1,0.1
1.2304,0,0,1,0.51485,0.51485,0.1,0.1
1.2359,0,0,1,0.53465,0.53465,0.1,0.1
1.2412,0,0,1,0.55446,0.55446,0.1,0.1
1.2461,0,0,1,0.57426,0.57426,0.1,0.1
1.2507,0,0,1,0.59406,0.59406,0.1,0.1
1.255,0,0,1,0.61386,0.61386,0.1,0.1
1.2588,0,0,1,0.63366,0.63366,0.1,0.1
1.2624,0,0,1,0.65347,0.65347,0.1,0.1
1.2656,0,0,1,0.67327,0.67327,0.1,0.1
1.2684,0,0,1,0.69307,0.69307,0.1,0.1
1.2709,0,0,1,0.71287,0.71287,0.1,0.1
1.273,0,0,1,0.73267,0.73267,0.1,0.1
1.2748,0,0,1,0.75248,0.75248,0.1,0.1
1.2762,0,0,1,0.77228,0.77228,0.1,0.1
1.2773,0,0,1,0.79208,0.79208,0.1,0.1
1.2781,0,0,1,0.81188,0.81188,0.1,0.1
1.2785,0,0,1,0.83168,0.83168,0.1,0.1
1.2785,0,0,1,0.85149,0.85149,0.1,0.1
1.2783,0,0,1,0.87129,0.87129,0.1,0.1
1.2777,0,0,1,0.89109,0.89109,0.1,0.1
1.2768,0,0,1,0.91089,0.91089,0.1,0.1
1.2755,0,0,1,0.93069,0.93069,0.1,0.1
1.274,0,0,1,0.9505,0.9505,0.1,0.1
1.2722,0,0,1,0.9703,0.9703,0.1,0.1
1.2701,0,0,1,0.9901,0.9901,0.1,0.1
1.2677,0,0,1,1.0099,1.0099,0.1,0.1
1.2651,0,0,1,1.0297,1.0297,0.1,0.1
1.2622,0,0,1,1.0495,1.0495,0.1,0.1
1.259,0,0,1,1.0693,1.0693,0.1,0.1
1.2557,0,0,1,1.0891,1.0891,0.1,0.1
1.252,0,0,1,1.1089,1.1089,0.1,0.1
1.2482,0,0,1,1.1287,1.1287,0.1,0.1
1.2442,0,0,1,1.1485,1.1485,0.1,0.1
1.2399,0,0,1,1.1683,1.1683,0.1,0.1
1.2355,0,0,1,1.1881,1.1881,0.1,0.1
1.2309,0,0,1,1.2079,1.2079,0.1,0.1
1.2262,0,0,1,1.2277,1.2277,0.1,0.1
1.2213,0,0,1,1.2475,1.2475,0.1,0.1
1.2163,0,0,1,1.2673,1.2673,0.1,0.1
1.2111,0,0,1,1.2871,1.2871,0.1,0.1
1.2058,0,0,1,1.3069,1.3069,0.1,0.1
1.2004,0,0,1,1.3267,1.3267,0.1,0.1
1.1949,0,0,1,1.3465,1.3465,0.1,0.1
1.1894,0,0,1,1.3663,1.3663,0.1,0.1
1.1837,0,0,1,1.3861,1.3861,0.1,0.1
1.178,0,0,1,1.4059,1.4059,0.1,0.1
1.1722,0,0,1,1.4257,1.4257,0.1,0.1
1.1663,0,0,1,1.4455,1.4455,0.1,0.1
1.1605,0,0,1,1.4653,1.4653,0.1,0.1
1.1545,0,0,1,1.4851,1.4851,0.1,0.1
1.1486,0,0,1,1.505,1.505,0.1,0.1
1.1426,0,0,1,1.5248,1.5248,0.1,0.1
1.1366,0,0,1,1.5446,1.5446,0.1,0.1
1.1306,0,0,1,1.5644,1.5644,0.1,0.1
1.1245,0,0,1,1.5842,1.5842,0.1,0.1
1.1185,0,0,1,1.604,1.604,0.1,0.1
1.1125,0,0,1,1.6238,1.6238,0.1,0.1
1.1064,0,0,1,1.6436,1.6436,0.1,0.1
1.1004,0,0,1,1.6634,1.6634,0.1,0.1
1.0944,0,0,1,1.6832,1.6832,0.1,0.1
1.0884,0,0,1,1.703,1.703,0.1,0.1
1.0824,0,0,1,1.7228,1.7228,0.1,0.1
1.0764,0,0,1,1.7426,1.7426,0.1,0.1
1.0705,0,0,1,1.7624,1.7624,0.1,0.1
1.0645,0,0,1,1.7822,1.7822,0.1,0.1
1.0586,0,0,1,1.802,1.802,0.1,0.1
1.0527,0,0,1,1.8218,1.8218,0.1,0.1
1.0468,0,0,1,1.8416,1.8416,0.1,0.1
1.0409,0,0,1,1.8614,1.8614,0.1,0.1
1.0351,0,0,1,1.8812,1.8812,0.1,0.1
1.0292,0,0,1,1.901,1.901,0.1,0.1
1.0233,0,0,1,1.9208,1.9208,0.1,0.1
1.0175,0,0,1,1.9406,1.9406,0.1,0.1
1.0117,0,0,1,1.9604,1.9604,0.1,0.1
1.0058,0,0,1,1.9802,1.9802,0.1,0.1
1,0,0,1,2,2,0.1,0.1
