"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.061,0,0,1,1.4257,1.4257,0.1,0.1
1.0536,0,0,1,1.4455,1.4455,0.1,0.1
1.047,0,0,1,1.4653,1.4653,0.1,0.1
1.0411,0,0,1,1.4851,1.4851,0.1,0.1
1.0359,0,0,1,1.505,1.505,0.1,0.1
1.0313,0,0,1,1.5248,1.5248,0.1,0.1
1.0272,0,0,1,1.5446,1.5446,0.1,0.1
1.0236,0,0,1,1.5644,1.5644,0.1,0.1
1.0204,0,0,1,1.5842,1.5842,0.1,0.1
1.0177,0,0,1,1.604,1.604,0.1,0.1
1.0153,0,0,1,1.6238,1.6238,0.1,0.1
1.0132,0,0,1,1.6436,1.6436,0.1,0.1
1.0113,0,0,1,1.6634,1.6634,0.1,0.1
1.0097,0,0,1,1.6832,1.6832,0.1,0.1
1.0083,0,0,1,1.703,1.703,0.1,0.1
1.0071,0,0,1,1.7228,1.7228,0.1,0.1
1.0061,0,0,1,1.7426,1.7426,0.1,0.1
1.0052,0,0,1,1.7624,1.7624,0.1,0.1
1.0044,0,0,1,1.7822,1.7822,0.1,0.1
1.0037,0,0,1,1.802,1.802,0.1,0.1
1.0031,0,0,1,1.8218,1.8218,0.1,0.1
1.0026,0,0,1,1.8416,1.8416,0.1,0.1
1.0022,0,0,1,1.8614,1.8614,0.1,0.1
1.0018,0,0,1,1.8812,1.8812,0.1,0.1
1.0014,0,0,1,1.901,1.901,0.1,0.1
1.0011,0,0,1,1.9208,1.9208,0.1,0.1
1.0008,0,0,1,1.9406,1.9406,0.1,0.1
1.0005,0,0,1,1.9604,1.9604,0.1,0.1
1.0003,0,0,1,1.9802,1.9802,0.1,0.1
1,0,0,1,2,2,0.1,0.1
