"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0.1,0.1
1.0098,0,0,1,0.019802,0.019802,0.1,0.1
1.0198,0,0,1,0.039604,0.039604,0.1,0.1
1.03,0,0,1,0.059406,0.059406,0.1,0.1
1.0405,0,0,1,0.079208,0.079208,0.1,0.1
1.0515,0,0,1,0.09901,0.09901,0.1,0.1
1.0632,0,0,1,0.11881,0.11881,0.1,0.1
1.0755,0,0,1,0.13861,0.13861,0.1,0.1
1.0886,0,0,1,0.15842,0.15842,0.1,0.1
1.1027,0,0,1,0.17822,0.17822,0.1,0.1
1.1177,0,0,1,0.19802,0.19802,0.1,0.1
1.1338,0,0,1,0.21782,0.21782,0.1,0.1
1.1511,0,0,1,0.23762,0.23762,0.1,0.1
1.1695,0,0,1,0.25743,0.25743,0.1,0.1
1.1891,0,0,1,0.27723,0.27723,0.1,0.1
1.21,0,0,1,0.29703,0.29703,0.1,0.1
1.2321,0,0,1,0.31683,0.31683,0.1,0.1
1.2553,0,0,1,0.33663,0.33663,0.1,0.1
1.2796,0,0,1,0.35644,0.35644,0.1,0.1
1.3049,0,0,1,0.37624,0.37624,0.1,0.1
1.3311,0,0,1,0.39604,0.39604,0.1,0.1
1.3579,0,0,1,0.41584,0.41584,0.1,0.1
1.3852,0,0,1,0.43564,0.43564,0.1,0.1
1.4127,0,0,1,0.45545,0.45545,0.1,0.1
1.4402,0,0,1,0.47525,0.47525,0.1,0.1
1.4675,0,0,1,0.49505,0.49505,0.1,0.1
1.4941,0,0,1,0.51485,0.51485,0.1,0.1
1.5199,0,0,1,0.53465,0.53465,0.1,0.1
1.5445,0,0,1,0.55446,0.55446,0.1,0.1
1.5676,0,0,1,0.57426,0.57426,0.1,0.1
1.5891,0,0,1,0.59406,0.59406,0.1,0.1
1.6086,0,0,1,0.61386,0.61386,0.1,0.1
1.626,0,0,1,0.63366,0.63366,0.1,0.1
1.641,0,0,1,0.65347,0.65347,0.1,0.1
1.6536,0,0,1,0.67327,0.67327,0.1,0.1
1.6634,0,0,1,0.69307,0.69307,0.1,0.1
1.6706,0,0,1,0.71287,0.71287,0.1,0.1
1.6749,0,0,1,0.73267,0.73267,0.1,0.1
1.6763,0,0,1,0.75248,0.75248,0.1,0.1
1.6749,0,0,1,0.77228,0.77228,0.1,0.1
1.6706,0,0,1,0.79208,0.79208,0.1,0.1
1.6635,0,0,1,0.81188,0.81188,0.1,0.1
1.6537,0,0,1,0.83168,0.83168,0.1,0.1
1.6412,0,0,1,0.85149,0.85149,0.1,0.1
1.6262,0,0,1,0.87129,0.87129,0.1,0.1
1.6089,0,0,1,0.89109,0.89109,0.1,0.1
1.5894,0,0,1,0.91089,0.91089,0.1,0.1
1.568,0,0,1,0.93069,0.93069,0.1,0.1
1.5449,0,0,1,0.9505,0.9505,0.1,0.1
1.5204,0,0,1,0.9703,0.9703,0.1,0.1
1.4947,0,0,1,0.9901,0.9901,0.1,0.1
1.4682,0,0,1,1.0099,1.0099,0.1,0.1
1.4411,0,0,1,1.0297,1.0297,0.1,0.1
1.4138,0,0,1,1.0495,1.0495,0.1,0.1
1.3864,0,0,1,1.0693,1.0693,0.1,0.1
1.3594,0,0,1,1.0891,1.0891,0.1,0.1
1.3328,0,0,1,1.1089,1.1089,0.1,0.1
1.307,0,0,1,1.1287,1.1287,0.1,0.1
1.282,0,0,1,1.1485,1.1485,0.1,0.1
1.2581,0,0,1,1.1683,1.1683,0.1,0.1
1.2354,0,0,1,1.1881,1.1881,0.1,0.1
1.2139,0,0,1,1.2079,1.2079,0.1,0.1
1.1936,0,0,1,1.2277,1.2277,0.1,0.1
1.1748,0,0,1,1.2475,1.2475,0.1,0.1
1.1572,0,0,1,1.2673,1.2673,0.1,0.1
1.141,0,0,1,1.2871,1.2871,0.1,0.1
1.1261,0,0,1,1.3069,1.3069,0.1,0.1
1.1124,0,0,1,1.3267,1.3267,0.1,0.1
1.1,0,0,1,1.3465,1.3465,0.1,0.1
1.0887,0,0,1,1.3663,1.3663,0.1,0.1
1.0785,0,0,1,1.3861,1.3861,0.1,0.1
1.0693,0,0,1,1.4059,1.4059,0.1,0.1
