"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3285,0,0,1,1.0891,1.0891,0.1,0.1
1.319,0,0,1,1.1089,1.1089,0.1,0.1
1.3092,0,0,1,1.1287,1.1287,0.1,0.1
1.2992,0,0,1,1.1485,1.1485,0.1,0.1
1.2891,0,0,1,1.1683,1.1683,0.1,0.1
1.2788,0,0,1,1.1881,1.1881,0.1,0.1
1.2685,0,0,1,1.2079,1.2079,0.1,0.1
1.2581,0,0,1,1.2277,1.2277,0.1,0.1
1.2478,0,0,1,1.2475,1.2475,0.1,0.1
1.2374,0,0,1,1.2673,1.2673,0.1,0.1
1.2272,0,0,1,1.2871,1.2871,0.1,0.1
1.217,0,0,1,1.3069,1.3069,0.1,0.1
1.2069,0,0,1,1.3267,1.3267,0.1,0.1
1.197,0,0,1,1.3465,1.3465,0.1,0.1
1.1873,0,0,1,1.3663,1.3663,0.1,0.1
1.1778,0,0,1,1.3861,1.3861,0.1,0.1
1.1684,0,0,1,1.4059,1.4059,0.1,0.1
1.1594,0,0,1,1.4257,1.4257,0.1,0.1
1.1505,0,0,1,1.4455,1.4455,0.1,0.1
1.1419,0,0,1,1.4653,1.4653,0.1,0.1
1.1336,0,0,1,1.4851,1.4851,0.1,0.1
1.1255,0,0,1,1.505,1.505,0.1,0.1
1.1177,0,0,1,1.5248,1.5248,0.1,0.1
1.1102,0,0,1,1.5446,1.5446,0.1,0.1
1.103,0,0,1,1.5644,1.5644,0.1,0.1
1.0961,0,0,1,1.5842,1.5842,0.1,0.1
1.0894,0,0,1,1.604,1.604,0.1,0.1
1.0831,0,0,1,1.6238,1.6238,0.1,0.1
1.0769,0,0,1,1.6436,1.6436,0.1,0.1
1.0711,0,0,1,1.6634,1.6634,0.1,0.1
1.0655,0,0,1,1.6832,1.6832,0.1,0.1
1.0601,0,0,1,1.703,1.703,0.1,0.1
1.055,0,0,1,1.7228,1.7228,0.1,0.1
1.0501,0,0,1,1.7426,1.7426,0.1,0.1
1.0454,0,0,1,1.7624,1.7624,0.1,0.1
1.0409,0,0,1,1.7822,1.7822,0.1,0.1
1.0366,0,0,1,1.802,1.802,0.1,0.1
1.0325,0,0,1,1.8218,1.8218,0.1,0.1
1.0285,0,0,1,1.8416,1.8416,0.1,0.1
1.0246,0,0,1,1.8614,1.8614,0.1,0.1
1.0209,0,0,1,1.8812,1.8812,0.1,0.1
1.0172,0,0,1,1.901,1.901,0.1,0.1
1.0137,0,0,1,1.9208,1.9208,0.1,0.1
1.0102,0,0,1,1.9406,1.9406,0.1,0.1
1.0068,0,0,1,1.9604,1.9604,0.1,0.1
1.0034,0,0,1,1.9802,1.9802,0.1,0.1
1,0,0,1,2,2,0.1,0.1
