"U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,0,0,0.1,0.1
1.0155,0,0,1,0.019802,0.019802,0.1,0.1
1.0311,0,0,1,0.039604,0.039604,0.1,0.1
1.0466,0,0,1,0.059406,0.059406,0.1,0.1
1.0621,0,0,1,0.079208,0.079208,0.1,0.1
1.0775,0,0,1,0.09901,0.09901,0.1,0.1
1.0928,0,0,1,0.11881,0.11881,0.1,0.1
1.1081,0,0,1,0.13861,0.13861,0.1,0.1
1.1233,0,0,1,0.15842,0.15842,0.1,0.1
1.1384,0,0,1,0.17822,0.17822,0.1,0.1
1.1534,0,0,1,0.19802,0.19802,0.1,0.1
1.1682,0,0,1,0.21782,0.21782,0.1,0.1
1.1829,0,0,1,0.23762,0.23762,0.1,0.1
1.1973,0,0,1,0.25743,0.25743,0.1,0.1
1.2116,0,0,1,0.27723,0.27723,0.1,0.1
1.2256,0,0,1,0.29703,0.29703,0.1,0.1
1.2393,0,0,1,0.31683,0.31683,0.1,0.1
1.2528,0,0,1,0.33663,0.33663,0.1,0.1
1.2659,0,0,1,0.35644,0.35644,0.1,0.1
1.2787,0,0,1,0.37624,0.37624,0.1,0.1
1.2912,0,0,1,0.39604,0.39604,0.1,0.1
1.3032,0,0,1,0.41584,0.41584,0.1,0.1
1.3147,0,0,1,0.43564,0.43564,0.1,0.1
1.3258,0,0,1,0.45545,0.45545,0.1,0.1
1.3364,0,0,1,0.47525,0.47525,0.1,0.1
1.3464,0,0,1,0.49505,0.49505,0.1,0.1
1.3559,0,0,1,0.51485,0.51485,0.1,0.1
1.3647,0,0,1,0.53465,0.53465,0.1,0.1
1.373,0,0,1,0.55446,0.55446,0.1,0.1
1.3805,0,0,1,0.57426,0.57426,0.1,0.1
1.3875,0,0,1,0.59406,0.59406,0.1,0.1
1.3937,0,0,1,0.61386,0.61386,0.1,0.1
1.3992,0,0,1,0.63366,0.63366,0.1,0.1
1.4039,0,0,1,0.65347,0.65347,0.1,0.1
1.4079,0,0,1,0.67327,0.67327,0.1,0.1
1.4111,0,0,1,0.69307,0.69307,0.1,0.1
1.4136,0,0,1,0.71287,0.71287,0.1,0.1
1.4153,0,0,1,0.73267,0.73267,0.1,0.1
1.4162,0,0,1,0.75248,0.75248,0.1,0.1
1.4164,0,0,1,0.77228,0.77228,0.1,0.1
1.4157,0,0,1,0.79208,0.79208,0.1,0.1
1.4144,0,0,1,0.81188,0.81188,0.1,0.1
1.4122,0,0,1,0.83168,0.83168,0.1,0.1
1.4094,0,0,1,0.85149,0.85149,0.1,0.1
1.4058,0,0,1,0.87129,0.87129,0.1,0.1
1.4016,0,0,1,0.89109,0.89109,0.1,0.1
1.3967,0,0,1,0.91089,0.91089,0.1,0.1
1.3911,0,0,1,0.93069,0.93069,0.1,0.1
1.385,0,0,1,0.9505,0.9505,0.1,0.1
1.3783,0,0,1,0.9703,0.9703,0.1,0.1
1.3711,0,0,1,0.9901,0.9901,0.1,0.1
1.3634,0,0,1,1.0099,1.0099,0.1,0.1
1.3552,0,0,1,1.0297,1.0297,0.1,0.1
1.3467,0,0,1,1.0495,1.0495,0.1,0.1
1.3377,0,0,1,1.0693,1.0693,0.1,0.1
